source_created_at,author_id,text,source,language,longitude,latitude,id,labels_topic_0_tweet_id,labels_topic_0_user_id,labels_topic_0_relevant,labels_topic_0_topic,labels_topic_0_ground_truth,labels_topic_0_id,labels_sentiment_0_tweet_id,labels_sentiment_0_user_id,labels_sentiment_0_sentiment,labels_sentiment_0_ground_truth,labels_sentiment_0_id,source_id
2019-01-16 18:45:31,20086215.0,@TLRailUK You opened the doors 20 seconds after a train on the parallel platform pulled away. That is absolutely terrible service.,brandwatch,en-GB,,,403002e4-f21e-96b7-8ba3-9a5209aa5e79,403002e4-f21e-96b7-8ba3-9a5209aa5e79,Z003XDCS,True,none,True,feb9d117-912d-2438-c840-4e190f7177d9,403002e4-f21e-96b7-8ba3-9a5209aa5e79,Z003XDCS,negative,True,26bb9a74-f12b-a2f1-2a6a-fa649a37ffbf,1085609007706984448
2020-09-02 18:20:00.938000,18910523,@TLRailUK why don’t the doors open at every station to save us folk having to touch the button?!,sprinklr,en,-0.12574,51.50853,72881b0b-3668-6d19-e689-d0a9b27abb7f,72881b0b-3668-6d19-e689-d0a9b27abb7f,Z003XDCS,True,covid,True,7d087378-d168-bf34-59ee-9a26859323b3,72881b0b-3668-6d19-e689-d0a9b27abb7f,Z003XDCS,neutral,True,75d2d3cd-4311-ee51-aea3-8a901d12feab,
2019-05-31 08:18:53,3403899430.0,@TLRailUK When on phone to @LNER they said as it was cancelled they’ve also cancelled ticket and issued refund so now no ticket. That shows on time but all trains going via Croydon before reaching Stevenage so looks like all will be delayed/cancelled,brandwatch,en-GB,,,f64bfdc3-0034-8172-b532-64987f26f29f,f64bfdc3-0034-8172-b532-64987f26f29f,Z003XDCS,True,delays,True,8b1b3562-fa5d-6059-81c8-1f2c6749eff0,f64bfdc3-0034-8172-b532-64987f26f29f,Z003XDCS,negative,True,046ec661-ff1e-b31b-1451-ba33e64bcda8,1134373669948575744
2019-01-20 13:13:51,1096645303.0,"@LiveCommute @bus131 @tlupdates @TLRailUK @brighton_line They are monopolies which go unregulated regarding genuine customer experience, hence three hour train journeys without tables, trays, heating, luggage racks even though they service two of Europes busiest airports. It's a failed industry.",brandwatch,en-GB,,,f9deea89-cad4-c684-f5bb-abb6bd3afed3,f9deea89-cad4-c684-f5bb-abb6bd3afed3,Z003XDCS,True,train_general,True,2f741afc-a447-7688-3ebc-26547bc0c4a9,f9deea89-cad4-c684-f5bb-abb6bd3afed3,Z003XDCS,negative,True,355bd9ea-27fa-c1e4-7afb-2cea5c359736,1086975093161578496
2019-03-13 17:58:48,385018109.0,@TLRailUK what is going on with the 17:11 from BFR to PLU? We’ve been on the train for the best part of an hour and are still stuck outside Deptford? Delay repay? Will it ever get to PLU?,brandwatch,en-GB,,,5b3abef8-e212-1f68-9dc2-078022ef60d0,5b3abef8-e212-1f68-9dc2-078022ef60d0,Z003XDCS,True,delays,True,531f69bc-a246-6e12-2828-93544a63f6a7,5b3abef8-e212-1f68-9dc2-078022ef60d0,Z003XDCS,negative,True,4a3ebcbc-92ad-8aae-464e-cc8533640345,1105890970627964929
2019-11-28 18:22:15,2589703207,"@NetworkRailSE @SouthernRailUK #TLUpdates - Thameslink services may be subject to further delay on between London & Bedford and London & Cambridge as a knock on effect of this issue. Full details, including service updates, live departures & ticket acceptance ℹ️👇 https://t.co/iYMraBkjSy",brandwatch,en-GB,,,bf1af37c-b858-5862-a041-72ae7d7901df,bf1af37c-b858-5862-a041-72ae7d7901df,Z003XDCS,True,delays,True,177a266d-b749-831d-a05f-4ac74966912a,bf1af37c-b858-5862-a041-72ae7d7901df,Z003XDCS,neutral,True,2be99be2-e15a-2d8e-364c-9fa33f96e376,1200117715278745600
2020-01-08 16:57:46,4142669015,"@ClaireTierney5 The 1611 was diverted between East Croydon and Blackfriars not calling at London Bridge, but Thameslink didn't bother to update the data so Customer Information Screens and Journey Planers didn't show the alteration.",brandwatch,en,,,4dfb84f4-01bc-7104-bfd0-684d8cc8f81a,4dfb84f4-01bc-7104-bfd0-684d8cc8f81a,Z003XDCS,True,service,True,3244d065-c900-0547-cd60-b255eaa7091b,4dfb84f4-01bc-7104-bfd0-684d8cc8f81a,Z003XDCS,negative,True,13dad092-a4c4-43ac-4b25-f5844ae73e88,1214954360532295680
2019-05-21 22:43:48,320797050.0,@soran1 @TLRailUK Drivers are not in charge of heating or AC on class 700 trains. It’s set by the owner-maker at their depots,brandwatch,en,,,a7678871-0536-9174-3539-a43e911c0673,a7678871-0536-9174-3539-a43e911c0673,Z003XDCS,True,hvac,True,95efcaff-5642-6cef-d8a0-87064a4a8e75,a7678871-0536-9174-3539-a43e911c0673,Z003XDCS,neutral,True,740aecc0-3470-4b1b-4593-06129bd45b99,1130967454396633093
2019-02-25 00:31:10,1883044812,@TLRailUK I hear the managers are staying at the St pancras hotel because of concerns of their trains being cancelled or delayed making them late 😂😂😂,brandwatch,en-GB,,,27a0fcaf-0e31-5192-26ae-30e172c0c310,27a0fcaf-0e31-5192-26ae-30e172c0c310,Z003XDCS,True,delays,True,0e1e1489-070c-85e9-9aab-501bc32eb4ea,27a0fcaf-0e31-5192-26ae-30e172c0c310,Z003XDCS,negative,True,8f1df62b-8a7e-393c-fb7d-40a328859198,1099829118139547648
2019-12-28 22:00:37,102896451,Hi @TLRailUK your 2008 Horsham to Peterborough service is being delayed at Finsbury Park while we await a driver. Any idea where this driver is and how long we wait please.,brandwatch,en-GB,,,627160cd-79e0-c4f5-372d-0de764a810b4,627160cd-79e0-c4f5-372d-0de764a810b4,Z003XDCS,True,delays,True,40a970c4-8115-76ae-ff23-a8262d670148,627160cd-79e0-c4f5-372d-0de764a810b4,Z003XDCS,negative,True,c312d216-343c-33ae-9a59-7ca0e3e885f8,1211044306464755713
2019-01-24 09:23:11,33222905.0,@geofftech stuck on heavily delayed Thameslink when your Brighton engineering voiceover booms out. Is this your full time job now?! No escape!,brandwatch,en-GB,,,97e61263-98fa-fb36-e128-095da2899790,97e61263-98fa-fb36-e128-095da2899790,Z003XDCS,True,delays,True,821b27c1-5a70-78cc-ef74-b77e44e73714,97e61263-98fa-fb36-e128-095da2899790,Z003XDCS,negative,True,fa73d4af-29a0-6591-c1a7-a582872bcdb9,1088366592960987136
2019-06-06 06:20:07,1096645303,@chief__rocka @tlupdates @LambrettaGT205 @Coddiwomples @TLRailUK @ABCommuters @LilianGreenwood @WhichUK I travel TL Class700 twice a day. Only been trays on one trip this week. The daily soaking in pints of coffee placed on the floor takes the Class out of anything TL provides.,brandwatch,en-GB,,,5b615b33-d44d-724b-dd0a-110b0bdad8f3,5b615b33-d44d-724b-dd0a-110b0bdad8f3,Z003XDCS,True,vandalism,True,d05cac90-508b-64cb-038b-276abcee4005,5b615b33-d44d-724b-dd0a-110b0bdad8f3,Z003XDCS,negative,True,ca32156c-1f56-8bb6-2cb6-6d1337077742,1136518109735661568
